[I 2025-04-30 13:19:39,321] Trial 33 finished with value: 0.8896590909090909 and parameters: {'n_estimators': 682, 'max_depth': 23, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:19:56,519] Trial 34 finished with value: 0.89 and parameters: {'n_estimators': 709, 'max_depth': 36, 'min_samples_split': 3, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:20:18,451] Trial 35 finished with value: 0.8902272727272728 and parameters: {'n_estimators': 797, 'max_depth': 47, 'min_samples_split': 6, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': False}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:20:54,657] Trial 36 finished with value: 0.8844318181818182 and parameters: {'n_estimators': 613, 'max_depth': 33, 'min_samples_split': 5, 'min_samples_leaf': 8, 'max_features': None, 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:21:15,219] Trial 37 finished with value: 0.8878409090909092 and parameters: {'n_estimators': 942, 'max_depth': 41, 'min_samples_split': 4, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:22:29,601] Trial 38 finished with value: 0.8487500000000001 and parameters: {'n_estimators': 756, 'max_depth': 43, 'min_samples_split': 3, 'min_samples_leaf': 3, 'max_features': None, 'bootstrap': False}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:22:36,244] Trial 39 finished with value: 0.8681818181818182 and parameters: {'n_estimators': 479, 'max_depth': 5, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:22:49,786] Trial 40 finished with value: 0.8894318181818182 and parameters: {'n_estimators': 560, 'max_depth': 48, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:22:56,457] Trial 41 finished with value: 0.8889772727272728 and parameters: {'n_estimators': 303, 'max_depth': 45, 'min_samples_split': 7, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:22:59,327] Trial 42 finished with value: 0.8876136363636362 and parameters: {'n_estimators': 135, 'max_depth': 37, 'min_samples_split': 6, 'min_samples_leaf': 3, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:23:07,849] Trial 43 finished with value: 0.8902272727272728 and parameters: {'n_estimators': 377, 'max_depth': 48, 'min_samples_split': 7, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:23:13,043] Trial 44 finished with value: 0.8847727272727273 and parameters: {'n_estimators': 263, 'max_depth': 50, 'min_samples_split': 8, 'min_samples_leaf': 7, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:23:27,639] Trial 45 finished with value: 0.8898863636363636 and parameters: {'n_estimators': 634, 'max_depth': 42, 'min_samples_split': 6, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:23:50,099] Trial 46 finished with value: 0.8896590909090909 and parameters: {'n_estimators': 726, 'max_depth': 46, 'min_samples_split': 9, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': False}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:24:16,224] Trial 47 finished with value: 0.8870454545454545 and parameters: {'n_estimators': 374, 'max_depth': 41, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': None, 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:24:25,841] Trial 48 finished with value: 0.8902272727272728 and parameters: {'n_estimators': 418, 'max_depth': 44, 'min_samples_split': 4, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:24:35,674] Trial 49 finished with value: 0.8872727272727273 and parameters: {'n_estimators': 482, 'max_depth': 25, 'min_samples_split': 5, 'min_samples_leaf': 5, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:24:53,246] Trial 50 finished with value: 0.8893181818181819 and parameters: {'n_estimators': 839, 'max_depth': 31, 'min_samples_split': 7, 'min_samples_leaf': 3, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:25:09,910] Trial 51 finished with value: 0.8901136363636365 and parameters: {'n_estimators': 765, 'max_depth': 40, 'min_samples_split': 10, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:25:24,852] Trial 52 finished with value: 0.89 and parameters: {'n_estimators': 674, 'max_depth': 34, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:25:40,654] Trial 53 finished with value: 0.8847727272727273 and parameters: {'n_estimators': 810, 'max_depth': 37, 'min_samples_split': 10, 'min_samples_leaf': 9, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:25:56,901] Trial 54 finished with value: 0.8882954545454546 and parameters: {'n_estimators': 753, 'max_depth': 48, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:26:10,937] Trial 55 finished with value: 0.890909090909091 and parameters: {'n_estimators': 645, 'max_depth': 39, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:26:26,159] Trial 56 finished with value: 0.8893181818181819 and parameters: {'n_estimators': 515, 'max_depth': 42, 'min_samples_split': 9, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': False}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:26:39,898] Trial 57 finished with value: 0.8887499999999999 and parameters: {'n_estimators': 639, 'max_depth': 44, 'min_samples_split': 9, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
[I 2025-04-30 13:26:52,268] Trial 58 finished with value: 0.8903409090909091 and parameters: {'n_estimators': 570, 'max_depth': 35, 'min_samples_split': 8, 'min_samples_leaf': 1, 'max_features': 'log2', 'bootstrap': True}. Best is trial 3 with value: 0.8911363636363635.
